"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
;;;;;;"AMR %";0,037 %;0,275 %;0,045 %;0,307 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,089 %;0,664 %;0,140 %;0,856 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,037 %;0,275 %;0,045 %;0,307 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";13 119;13 119;8 008;8 008;0;0;
;;"X-MEN PRZESZLOSC KTORA NADEJDZIE /FILM S.F.W.BRYT.USA/";" ";"18:50:10";"02:06:21";"AMR";37 746;29 878;31 991;25 207;1 228;143;
;;;;;;"AMR %";0,106 %;0,627 %;0,181 %;0,966 %;0,037 %;0,028 %;
;;;;;;"SHR %";0,228 %;1,291 %;0,482 %;2,255 %;0,132 %;0,111 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,894 %;5,952 %;0,739 %;3,924 %;0,487 %;1,759 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";319 557;283 784;130 905;102 349;16 224;9 007;
;;"AUTOPROMOCJA";" ";"20:56:31";"00:00:36";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"NISSAN + PLAYSTATION";"20:57:07";"00:00:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"TV LOGO";" ";"20:57:19";"00:00:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"20:57:31";"00:01:42";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"TV LOGO";" ";"20:59:13";"00:00:06";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"20:59:19";"00:00:36";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"BLOK SPONSORSKI";"NISSAN + PLAYSTATION";"20:59:55";"00:00:12";"AMR";6 672;6 672;3 673;3 673;0;0;
;;;;;;"AMR %";0,019 %;0,140 %;0,021 %;0,141 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,038 %;0,261 %;0,049 %;0,288 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,032 %;0,240 %;0,036 %;0,241 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 438;11 438;6 296;6 296;0;0;
;;"WHO AM I MOZESZ BYC KIM CHCESZ /FILM THR.NIEM./";" ";"21:00:07";"01:42:00";"AMR";34 147;7 398;33 520;6 771;0;0;
;;;;;;"AMR %";0,096 %;0,155 %;0,189 %;0,260 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,223 %;0,325 %;0,483 %;0,557 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,393 %;2,065 %;0,515 %;1,891 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";140 309;98 474;91 164;49 330;0;0;
;;"AUTOPROMOCJA";" ";"22:42:07";"00:02:57";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"DOM HEMINGWAY /FILM KOM.DRA.ANG./";" ";"22:45:04";"01:29:41";"AMR";12 641;2 212;10 824;394;0;0;
;;;;;;"AMR %";0,035 %;0,046 %;0,061 %;0,015 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,172 %;0,195 %;0,299 %;0,063 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,145 %;0,721 %;0,192 %;0,632 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";51 861;34 373;33 966;16 478;0;0;
;;"KUCHNIA FILMOWA /MAG. FILMOWY/";" ";"24:14:45";"00:02:35";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"24:17:20";"00:02:51";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"REC 4: APOKALIPSA /FILM HOR.HISZ./";" ";"24:20:11";"01:31:26";"AMR";437;56;437;56;0;0;
;;;;;;"AMR %";0,001 %;0,001 %;0,002 %;0,002 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,017 %;0,014 %;0,033 %;0,023 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,034 %;0,107 %;0,068 %;0,195 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";12 056;5 082;12 056;5 082;0;0;
;;"AUTOPROMOCJA";" ";"25:51:37";"00:01:57";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"TV LOGO";" ";"25:53:34";"00:00:30";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"25:54:04";"00:01:12";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"CHLOPAKI NIE PLACZA /FILM KOM.POL./";" ";"25:55:16";"00:04:44";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;"Canal+ Discovery";"NIE DO ZAPOMNIENIA /FILM DOK.USA/";" ";"02:00:00";"00:25:53";"AMR";4 019;4 019;4 019;4 019;0;0;
;;;;;;"AMR %";0,011 %;0,084 %;0,023 %;0,154 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,205 %;1,222 %;0,393 %;1,912 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,084 %;0,023 %;0,154 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 019;4 019;4 019;4 019;0;0;
;;"AUTOPROMOCJA";" ";"02:25:53";"00:04:22";"AMR";3 789;3 789;3 789;3 789;0;0;
;;;;;;"AMR %";0,011 %;0,079 %;0,021 %;0,145 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,223 %;1,414 %;0,425 %;2,358 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,084 %;0,023 %;0,154 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 019;4 019;4 019;4 019;0;0;
;;"PRAWO OJCA /FILM DRAM.SENS.POL./";" ";"02:30:15";"01:37:36";"AMR";1 565;1 565;1 565;1 565;0;0;
;;;;;;"AMR %";0,004 %;0,033 %;0,009 %;0,060 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,133 %;0,933 %;0,238 %;1,463 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,084 %;0,023 %;0,154 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 019;4 019;4 019;4 019;0;0;
;;"AUTOPROMOCJA";" ";"04:07:51";"00:02:22";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;n.a.;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"SLODKO GORZKI /FILM FAB.POL./";" ";"04:10:13";"01:30:35";"AMR";91;91;56;56;0;0;
;;;;;;"AMR %";0,000 %;0,002 %;0,000 %;0,002 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,012 %;0,086 %;0,015 %;0,091 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,023 %;0,173 %;0,029 %;0,195 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";8 241;8 241;5 082;5 082;0;0;
;;"AUTOPROMOCJA";" ";"05:40:48";"00:00:57";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"05:59:27";"00:00:42";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LAPU CAPU EXTRA /PROGR.ROZR.POL./";" ";"06:00:09";"00:27:27";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"06:27:36";"00:02:27";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"NIE PRZEGAP /ZAPOWIEDZI/";" ";"06:30:03";"00:07:29";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"06:37:32";"00:02:34";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LAPU CAPU /PROG.ROZ./";" ";"06:40:06";"00:03:58";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"06:44:04";"00:01:07";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PRZE TWORCY /SER.DOK.POL./";" ";"06:45:11";"00:44:00";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"07:29:11";"00:00:57";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LAPU CAPU EXTRA /PROGR.ROZR.POL./";" ";"07:30:08";"00:26:55";"AMR";183;183;183;183;0;0;
;;;;;;"AMR %";0,001 %;0,004 %;0,001 %;0,007 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,004 %;0,035 %;0,013 %;0,096 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,014 %;0,103 %;0,028 %;0,189 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 928;4 928;4 928;4 928;0;0;
;;"AUTOPROMOCJA";" ";"07:57:03";"00:03:22";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"PASJA SPOSOB NA ZYCIE /SER.DOK.POL./";" ";"08:00:25";"00:44:05";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"08:44:30";"00:05:44";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"KALIFORNIA W BUTELCE /SER.DOK.POL./";" ";"08:50:14";"00:24:25";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"09:14:39";"00:00:52";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"LOWCY ADRENALINY /SER. DOK AUSTRAL./";" ";"09:15:31";"00:48:04";"AMR";612;0;612;0;0;0;
;;;;;;"AMR %";0,002 %;0,000 %;0,003 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,008 %;0,000 %;0,018 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,019 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 427;0;3 427;0;0;0;
;;"AUTOPROMOCJA";" ";"10:03:35";"00:01:37";"AMR";3 427;0;3 427;0;0;0;
;;;;;;"AMR %";0,010 %;0,000 %;0,019 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,041 %;0,000 %;0,096 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,019 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 427;0;3 427;0;0;0;
;;"BEZ GRANIC /SER.DOK.KAN./";" ";"10:05:12";"00:45:58";"AMR";1 923;0;1 923;0;0;0;
;;;;;;"AMR %";0,005 %;0,000 %;0,011 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,023 %;0,000 %;0,055 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,010 %;0,000 %;0,019 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 427;0;3 427;0;0;0;
;;"AUTOPROMOCJA";" ";"10:51:10";"00:04:07";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"CRISTIANO RONALDO SWIAT U STOP /FILM.DOK.USA/";" ";"10:55:17";"01:01:08";"AMR";8 728;5 965;543;543;0;0;
;;;;;;"AMR %";0,024 %;0,125 %;0,003 %;0,021 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,108 %;0,601 %;0,016 %;0,119 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,162 %;1,006 %;0,187 %;1,272 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";57 907;47 971;33 184;33 184;0;0;
;;"AUTOPROMOCJA";" ";"11:56:25";"00:03:52";"AMR";9 879;9 879;0;0;0;0;
;;;;;;"AMR %";0,028 %;0,207 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,120 %;0,910 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,041 %;0,310 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";14 787;14 787;0;0;0;0;
;;"PASJA SPOSOB NA ZYCIE /SER.DOK.POL./";" ";"12:00:17";"00:44:39";"AMR";0;0;0;0;0;0;
;;;;;;"AMR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";0;0;0;0;0;0;
;;"AUTOPROMOCJA";" ";"12:44:56";"00:00:52";"AMR";31 575;31 575;18 163;18 163;10 053;10 053;
;;;;;;"AMR %";0,088 %;0,662 %;0,103 %;0,696 %;0,302 %;1,963 %;
;;;;;;"SHR %";0,377 %;2,837 %;0,494 %;3,191 %;1,617 %;12,985 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,096 %;0,717 %;0,111 %;0,754 %;0,327 %;2,127 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";34 207;34 207;19 676;19 676;10 890;10 890;
;;"NAJNIEBEZPIECZNIEJSZY ZAWOD SWIATA /DOK.USA/";" ";"12:45:48";"00:43:57";"AMR";10 274;10 274;5 910;5 910;3 271;3 271;
;;;;;;"AMR %";0,029 %;0,215 %;0,033 %;0,227 %;0,098 %;0,639 %;
;;;;;;"SHR %";0,122 %;0,874 %;0,162 %;0,991 %;0,551 %;4,096 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,096 %;0,717 %;0,111 %;0,754 %;0,327 %;2,127 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";34 207;34 207;19 676;19 676;10 890;10 890;
;;"AUTOPROMOCJA";" ";"13:29:45";"00:00:52";"AMR";2 799;2 799;2 799;2 799;0;0;
;;;;;;"AMR %";0,008 %;0,059 %;0,016 %;0,107 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,034 %;0,229 %;0,079 %;0,453 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,083 %;0,022 %;0,151 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 934;3 934;3 934;3 934;0;0;
;;"4 RAZY SZTUKA /SER.DOK.W.BRYT./";" ";"13:30:37";"00:47:04";"AMR";32;32;32;32;0;0;
;;;;;;"AMR %";0,000 %;0,001 %;0,000 %;0,001 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,000 %;0,003 %;0,001 %;0,005 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,011 %;0,083 %;0,022 %;0,151 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";3 934;3 934;3 934;3 934;0;0;
;;"AUTOPROMOCJA";" ";"14:17:41";"00:02:52";"AMR";822;822;0;0;0;0;
;;;;;;"AMR %";0,002 %;0,017 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,010 %;0,074 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,012 %;0,090 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";4 285;4 285;0;0;0;0;
;;"NAJNIEBEZPIECZNIEJSZY ZAWOD SWIATA /DOK.USA/";" ";"14:20:33";"00:44:03";"AMR";16 503;16 503;12 218;12 218;0;0;
;;;;;;"AMR %";0,046 %;0,346 %;0,069 %;0,468 %;0,000 %;0,000 %;
